Problem,Exercise,SourceHead,SourceLink,exercise_id
Obesity,Leg lifts,Gentle Exercise for Obese People-Actionable Wellness,https://actionablewellness.com/gentle-exercise-for-obese-people/,23
Obesity,Squats,Gentle Exercise for Obese People-Actionable Wellness,https://actionablewellness.com/gentle-exercise-for-obese-people/,24
Obesity,Jogging,Six activities can help obese people lose weight and keep it off,https://www.health.harvard.edu/staying-healthy/six-activities-can-help-obese-people-lose-weight-and-keep-it-off,25
Obesity,Mountain climbing,Six activities can help obese people lose weight and keep it off,https://www.health.harvard.edu/staying-healthy/six-activities-can-help-obese-people-lose-weight-and-keep-it-off,26
Obesity,Power walking,Six activities can help obese people lose weight and keep it off,https://www.health.harvard.edu/staying-healthy/six-activities-can-help-obese-people-lose-weight-and-keep-it-off,27
Obesity,Dancing,Six activities can help obese people lose weight and keep it off,https://www.health.harvard.edu/staying-healthy/six-activities-can-help-obese-people-lose-weight-and-keep-it-off,3
chronic tiredness,Warm-water exercise,Exercise for Fibromyalgia and Chronic Fatigue Syndrome - Verywell Health,https://www.verywellhealth.com/exercise-for-fibromyalgia-chronic-fatigue-syndrome-716045,28
chronic tiredness,Yoga,Exercise for Fibromyalgia and Chronic Fatigue Syndrome - Verywell Health,https://www.verywellhealth.com/exercise-for-fibromyalgia-chronic-fatigue-syndrome-716045,29
chronic tiredness,Qigong (like Tai chi),Exercise for Fibromyalgia and Chronic Fatigue Syndrome - Verywell Health,https://www.verywellhealth.com/exercise-for-fibromyalgia-chronic-fatigue-syndrome-716045,30
chronic tiredness,Pilates,Exercise for Fibromyalgia and Chronic Fatigue Syndrome - Verywell Health,https://www.verywellhealth.com/exercise-for-fibromyalgia-chronic-fatigue-syndrome-716045,31
chronic tiredness,Aerobic Exercise,The Best Exercises to Get Better Sleep | Sleep Foundation,https://www.sleepfoundation.org/physical-activity/best-exercises-sleep,32
chronic tiredness,Resistance Exercise,The Best Exercises to Get Better Sleep | Sleep Foundation,https://www.sleepfoundation.org/physical-activity/best-exercises-sleep,33
chronic tiredness,Jogging,The Best Exercises to Get Better Sleep | Sleep Foundation,https://www.sleepfoundation.org/physical-activity/best-exercises-sleep,25
chronic tiredness,Floor-based strength exercises,10 Exercises to Regain Your Energy When You're Exhausted,https://www.parcofontario.com/10-exercises-regain-energy/,34
weight loss,Walking,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss,0
weight loss,Jogging,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss,25
weight loss,Cycling,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss,5
weight loss,Weight training,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss,35
weight loss,Interval training,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss,36
weight loss,Swimming,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss,4
weight loss,Yoga,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss,29
weight loss,Pilates,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss,31
stress,Jogging,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/,25
stress,Swimming,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/,4
stress,Cycling,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/,5
stress,Walking,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/,0
stress,Gardening,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/,37
stress,Dancing,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/,3
stress,Yoga,Exercising to Relax - Harvard Health Publishing - Harvard Health,https://www.health.harvard.edu/staying-healthy/exercising-to-relax,29
stress,Strength training,Exercising to Relax - Harvard Health Publishing - Harvard Health,https://www.health.harvard.edu/staying-healthy/exercising-to-relax,38
joint pain,Exercises that put joints through their full range of motion,Exercising with arthritis: Improve your joint pain and stiffness - Mayo,https://www.mayoclinic.org/diseases-conditions/arthritis/in-depth/arthritis/art-20047971,39
joint pain,Strengthening exercises,Exercising with arthritis: Improve your joint pain and stiffness - Mayo,https://www.mayoclinic.org/diseases-conditions/arthritis/in-depth/arthritis/art-20047971,40
joint pain,Aerobic exercise,Exercising with arthritis: Improve your joint pain and stiffness - Mayo,https://www.mayoclinic.org/diseases-conditions/arthritis/in-depth/arthritis/art-20047971,41
joint pain,Walking,Physical Activity for Arthritis | CDC,https://www.cdc.gov/arthritis/basics/physical-activity/index.html,0
joint pain,Biking,Physical Activity for Arthritis | CDC,https://www.cdc.gov/arthritis/basics/physical-activity/index.html,42
joint pain,Swimming,Physical Activity for Arthritis | CDC,https://www.cdc.gov/arthritis/basics/physical-activity/index.html,4
joint pain,Water aerobics,Physical Activity for Arthritis | CDC,https://www.cdc.gov/arthritis/basics/physical-activity/index.html,43
joint pain,Light gardening,Physical Activity for Arthritis | CDC,https://www.cdc.gov/arthritis/basics/physical-activity/index.html,44
cardiovascular problems,Brisk walking,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613,45
cardiovascular problems,Running,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613,46
cardiovascular problems,Cycling,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613,5
cardiovascular problems,Swimming,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613,4
cardiovascular problems,Rowing,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613,47
cardiovascular problems,Cross-country skiing,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613,48
cardiovascular problems,Elliptical trainer,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613,49
cardiovascular problems,Stationary cycle,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613,50
